OBJECTID,MISCTYPE,COMMENTS,SHAPE_STArea__,SHAPE_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
8628,Deck_Porch_Patio,none,,,8628,47.65234375,35.4166165808491
8629,Deck_Porch_Patio,none,,,8629,21.3515625,19.6407414476471
8630,Deck_Porch_Patio,none,,,8630,27.6171875,21.5369540661779
8631,Deck_Porch_Patio,none,,,8631,30.18359375,23.230951329074
8632,Deck_Porch_Patio,none,,,8632,25.3828125,20.9691411958161
8633,Deck_Porch_Patio,none,,,8633,27.07421875,21.0551173984092
8634,Deck_Porch_Patio,none,,,8634,104.6875,48.1647835680097
8635,Deck_Porch_Patio,none,,,8635,27.3359375,21.2244719408015
8636,Deck_Porch_Patio,none,,,8636,12.1875,14.5370726489483
8637,Deck_Porch_Patio,none,,,8637,24.28515625,22.2235386443506
8638,Deck_Porch_Patio,none,,,8638,19.984375,17.9758348219201
8639,Deck_Porch_Patio,none,,,8639,15.91015625,16.6246256058857
8640,Deck_Porch_Patio,none,,,8640,30.08984375,22.1586381780881
8641,Deck_Porch_Patio,none,,,8641,50.27734375,29.188747964341
8642,Deck_Porch_Patio,none,,,8642,97.29296875,47.679139579469
8643,Deck_Porch_Patio,none,,,8643,72.45703125,34.9744853412469
8644,Deck_Porch_Patio,none,,,8644,14.859375,15.548674233284
8645,Deck_Porch_Patio,none,,,8645,19.640625,22.0930141849903
8646,Deck_Porch_Patio,none,,,8646,37.79296875,24.6838018156158
8647,Deck_Porch_Patio,none,,,8647,23.94921875,22.3757579291248
8648,Deck_Porch_Patio,none,,,8648,40.86328125,28.7322849149655
8649,Deck_Porch_Patio,none,,,8649,31.1328125,22.3959027628163
8650,Deck_Porch_Patio,none,,,8650,9.8984375,12.5325250312897
8651,Deck_Porch_Patio,none,,,8651,18.3125,19.5045953169704
8652,Deck_Porch_Patio,none,,,8652,45.40234375,27.5413791467229
8653,Deck_Porch_Patio,none,,,8653,32.16015625,24.1726706015424
8654,Building Canopy,none,,,8654,9.3125,12.6469029131609
8655,Deck_Porch_Patio,none,,,8655,50.4296875,43.7103353473052
8656,Deck_Porch_Patio,none,,,8656,39.34375,25.8620050053815
8657,Deck_Porch_Patio,none,,,8657,44.43359375,28.6583274067242
8658,Deck_Porch_Patio,none,,,8658,12.68359375,14.7190248517165
8659,Deck_Porch_Patio,none,,,8659,34.76953125,24.8376587019637
8660,Deck_Porch_Patio,none,,,8660,51.96484375,29.6537936565515
8661,Deck_Porch_Patio,none,,,8661,75.7109375,56.7109717984942
8662,Deck_Porch_Patio,none,,,8662,23.76953125,20.462921330995
8663,Deck_Porch_Patio,none,,,8663,187.25,72.9274991576221
8664,Deck_Porch_Patio,none,,,8664,23.59765625,19.5423252336385
8665,Deck_Porch_Patio,none,,,8665,60.87890625,36.7903120122293
8666,Deck_Porch_Patio,none,,,8666,6.89453125,10.5718715776658
8667,Deck_Porch_Patio,none,,,8667,25.0234375,21.1431522475122
8668,Deck_Porch_Patio,none,,,8668,5.76171875,11.1305496414865
8669,Deck_Porch_Patio,none,,,8669,26.91796875,20.7549597987775
8670,Deck_Porch_Patio,none,,,8670,45.15234375,29.253072976191
8671,Deck_Porch_Patio,none,,,8671,48.25390625,28.5124241342161
8672,Deck_Porch_Patio,none,,,8672,9.62890625,12.4329649065113
8673,Deck_Porch_Patio,none,,,8673,11.54296875,14.6642528820846
8674,Deck_Porch_Patio,none,,,8674,108.5,42.0903233235831
8675,Deck_Porch_Patio,none,,,8675,31.609375,28.9329097433324
8676,Deck_Porch_Patio,none,,,8676,35.66015625,24.170644359881
8677,Deck_Porch_Patio,none,,,8677,29.23828125,24.1927165241458
8678,Deck_Porch_Patio,none,,,8678,40.1015625,32.1599526132067
8679,Deck_Porch_Patio,none,,,8679,61.640625,39.279082847727
8680,Deck_Porch_Patio,none,,,8680,366.8046875,145.714839852761
8681,Deck_Porch_Patio,none,,,8681,14.19921875,17.147482124792
8682,Deck_Porch_Patio,none,,,8682,31.7890625,23.5634194535364
8683,Deck_Porch_Patio,none,,,8683,118.0625,91.2629012267498
8684,Building Canopy,none,,,8684,259.61328125,141.29040674276
8685,Deck_Porch_Patio,none,,,8685,15.30859375,17.563131373734
8686,Deck_Porch_Patio,none,,,8686,57.05859375,33.477965809799
8687,Deck_Porch_Patio,none,,,8687,48.51171875,32.9992618005552
8688,Deck_Porch_Patio,none,,,8688,39.46875,25.3148737591125
8689,Deck_Porch_Patio,none,,,8689,34.1015625,23.3869645203492
8690,Deck_Porch_Patio,none,,,8690,28.61328125,21.6794152360382
8691,Deck_Porch_Patio,none,,,8691,10.17578125,13.5493958848709
8692,Deck_Porch_Patio,none,,,8692,4.203125,11.3848038921916
8693,Deck_Porch_Patio,none,,,8693,39.03125,25.0972654875841
